Sequence Number,[Mainline] Name,Date,Time,Ievoli_Cobal CoG Easting,Ievoli_Cobal CoG Northing,Ievoli_Cobal CoG COG,Ievoli_Cobal CoG SOG,SF_STBD_MAG_1 Range to Node,SF_STBD_MAG_1 Easting,SF_STBD_MAG_1 Northing,Magnetic Field 30011_MAG_SFSTBD_1_883381 [nT] Value,Value Value,Depth Value,Altitude Value,Magnetic Field 30015_MAG_SFSTBD_5_883767 [nT] Value,Value Value,Value Comment,Value Comment,10003_MRU_SF_STBD Pitch,10003_MRU_SF_STBD Roll
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:16.97,668075.24,5981984.47,325.36,3.02,243.71,668222.43,5981737.01,50041.69,1299.00,32.15,2.22,50033.26,1418.00,883381,883767,0.58,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.01,668075.17,5981984.57,325.36,3.02,243.71,668222.37,5981737.12,50041.54,1296.00,32.15,2.22,50033.26,1418.00,883381,883767,0.58,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.05,668075.10,5981984.67,325.36,3.02,243.71,668222.30,5981737.22,50041.37,1296.00,32.15,2.22,50033.06,1418.00,883381,883767,0.58,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.09,668075.03,5981984.77,325.36,3.02,243.71,668222.24,5981737.32,50041.10,1296.00,32.15,2.20,50033.06,1418.00,883381,883767,0.58,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.17,668074.89,5981984.97,325.36,3.02,243.71,668222.11,5981737.52,50040.86,1296.00,32.15,2.20,50032.52,1418.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.21,668074.82,5981985.07,325.36,3.02,243.72,668222.05,5981737.63,50040.79,1294.00,32.15,2.18,50032.52,1418.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.25,668074.75,5981985.17,325.36,3.02,243.72,668221.98,5981737.73,50040.68,1294.00,32.20,2.18,50032.47,1418.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.29,668074.68,5981985.28,325.36,3.02,243.72,668221.92,5981737.84,50040.51,1294.00,32.20,2.18,50032.34,1418.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.37,668074.50,5981985.49,325.36,3.02,243.47,668220.87,5981737.84,50040.29,1294.00,32.20,2.18,50031.89,1421.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.41,668074.43,5981985.59,325.36,3.02,243.47,668220.77,5981737.93,50040.05,1294.00,32.20,2.18,50031.71,1418.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.46,668074.36,5981985.69,325.36,3.02,243.47,668220.71,5981738.04,50039.82,1296.00,32.20,2.18,50031.71,1418.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.50,668074.29,5981985.79,325.36,3.02,243.47,668220.65,5981738.14,50039.79,1294.00,32.20,2.17,50031.71,1418.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.54,668074.21,5981985.91,325.36,3.02,243.47,668220.57,5981738.26,50039.64,1294.00,32.20,2.17,50031.43,1421.00,883381,883767,-0.50,0.14
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.62,668074.08,5981986.10,325.36,3.02,243.47,668220.43,5981738.44,50039.41,1294.00,32.20,2.23,50031.12,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.66,668074.01,5981986.20,325.36,3.02,243.47,668220.36,5981738.54,50039.29,1296.00,32.20,2.23,50031.16,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.70,668073.94,5981986.30,325.36,3.02,243.47,668220.30,5981738.65,50039.14,1294.00,32.20,2.17,50031.16,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.74,668073.87,5981986.40,325.36,3.02,243.47,668220.23,5981738.75,50039.05,1294.00,32.20,2.17,50030.98,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.82,668073.74,5981986.61,325.40,3.02,243.47,668220.07,5981738.95,50038.96,1296.00,32.20,2.18,50030.85,1421.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.86,668073.67,5981986.71,325.40,3.02,243.47,668220.01,5981739.05,50038.75,1292.00,32.20,2.18,50030.69,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.90,668073.60,5981986.81,325.40,3.02,243.47,668219.94,5981739.16,50038.69,1294.00,32.20,2.18,50030.57,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.94,668073.53,5981986.91,325.40,3.02,243.47,668219.88,5981739.26,50038.55,1294.00,32.20,2.18,50030.57,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:17.98,668073.46,5981987.01,325.40,3.02,243.47,668219.79,5981739.35,50038.51,1294.00,32.20,2.18,50030.57,1418.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.07,668073.32,5981987.21,325.40,3.02,243.47,668219.66,5981739.56,50038.46,1292.00,32.20,2.18,50030.33,1421.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.11,668073.25,5981987.32,325.40,3.02,243.47,668219.59,5981739.67,50038.30,1294.00,32.20,2.15,50030.08,1421.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.15,668073.18,5981987.42,325.40,3.02,243.47,668219.53,5981739.77,50038.15,1294.00,32.20,2.15,50030.08,1421.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.19,668073.11,5981987.52,325.40,3.02,243.47,668219.47,5981739.87,50038.10,1294.00,32.20,2.15,50030.08,1421.00,883381,883767,-0.15,1.83
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.27,668072.97,5981987.72,325.40,3.02,243.46,668219.29,5981740.06,50038.19,1294.00,32.20,2.15,50029.94,1418.00,883381,883767,-0.71,1.03
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.31,668072.89,5981987.82,325.40,3.02,243.46,668219.23,5981740.17,50038.01,1294.00,32.20,2.20,50029.94,1418.00,883381,883767,-0.71,1.03
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.35,668072.83,5981987.92,325.40,3.02,243.47,668219.16,5981740.27,50037.83,1292.00,32.26,2.20,50029.71,1418.00,883381,883767,-0.71,1.03
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.39,668072.76,5981988.02,325.36,3.02,243.46,668219.07,5981740.35,50037.74,1292.00,32.26,2.19,50029.61,1421.00,883381,883767,-0.71,1.03
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.47,668072.62,5981988.22,325.36,3.02,243.46,668218.94,5981740.56,50037.69,1292.00,32.26,2.19,50029.65,1421.00,883381,883767,-0.71,1.03
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.51,668072.55,5981988.32,325.36,3.02,243.47,668218.87,5981740.66,50037.83,1292.00,32.26,2.16,50029.58,1421.00,883381,883767,-0.71,1.03
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.55,668072.48,5981988.42,325.36,3.02,243.47,668218.80,5981740.76,50037.83,1292.00,32.26,2.16,50029.58,1421.00,883381,883767,-0.71,1.03
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.59,668072.41,5981988.53,325.36,3.02,243.46,668218.72,5981740.86,50037.60,1292.00,32.26,2.16,50029.44,1418.00,883381,883767,2.19,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.63,668072.34,5981988.63,325.36,3.02,243.46,668218.66,5981740.96,50037.51,1289.00,32.26,2.16,50029.44,1418.00,883381,883767,2.19,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.72,668072.20,5981988.83,325.36,3.02,243.47,668218.52,5981741.17,50037.42,1289.00,32.26,2.17,50029.34,1421.00,883381,883767,2.19,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.76,668072.13,5981988.93,325.36,3.02,243.47,668218.46,5981741.27,50037.56,1289.00,32.26,2.17,50029.34,1421.00,883381,883767,2.19,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.80,668072.06,5981989.03,325.36,3.02,243.44,668218.37,5981741.39,50037.56,1289.00,32.26,2.16,50029.31,1421.00,883381,883767,2.19,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.84,668071.99,5981989.13,325.36,3.02,243.44,668218.30,5981741.50,50037.38,1289.00,32.26,2.16,50029.11,1421.00,883381,883767,2.19,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.92,668071.85,5981989.33,325.36,3.02,243.44,668218.17,5981741.70,50037.38,1289.00,32.26,2.15,50029.13,1418.00,883381,883767,2.19,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:18.96,668071.78,5981989.43,325.33,3.02,243.65,668218.81,5981741.96,50037.38,1289.00,32.26,2.15,50029.08,1421.00,883381,883767,2.19,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.00,668071.71,5981989.54,325.33,3.02,243.65,668218.75,5981742.06,50037.38,1287.00,32.26,2.16,50029.08,1421.00,883381,883767,2.19,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.05,668071.63,5981989.66,325.33,3.02,243.66,668218.67,5981742.19,50037.29,1287.00,32.26,2.16,50029.02,1418.00,883381,883767,2.19,0.39
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.12,668071.50,5981989.84,325.33,3.02,243.66,668218.56,5981742.38,50037.24,1287.00,32.26,2.16,50028.95,1421.00,883381,883767,1.73,-1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.16,668071.43,5981989.94,325.33,3.02,243.66,668218.50,5981742.48,50037.15,1287.00,32.26,2.16,50028.88,1421.00,883381,883767,1.73,-1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.20,668071.36,5981990.04,325.33,3.02,243.66,668218.44,5981742.58,50037.06,1287.00,32.26,2.15,50028.86,1418.00,883381,883767,1.73,-1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.25,668071.29,5981990.14,325.33,3.02,243.66,668218.35,5981742.68,50037.11,1287.00,32.26,2.15,50028.75,1421.00,883381,883767,1.73,-1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.29,668071.22,5981990.24,325.33,3.02,243.66,668218.29,5981742.78,50037.24,1287.00,32.26,2.15,50028.75,1421.00,883381,883767,1.73,-1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.37,668071.08,5981990.44,325.33,3.02,243.66,668218.17,5981742.99,50037.04,1287.00,32.26,2.15,50028.67,1421.00,883381,883767,1.73,-1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.41,668071.01,5981990.54,325.33,3.02,243.67,668218.11,5981743.09,50037.06,1287.00,32.26,2.15,50028.67,1421.00,883381,883767,1.73,-1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.45,668070.94,5981990.65,325.33,3.02,243.67,668218.05,5981743.20,50037.01,1284.00,32.26,2.15,50028.70,1421.00,883381,883767,1.73,-1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.49,668070.87,5981990.74,325.33,3.02,243.66,668217.96,5981743.29,50037.01,1284.00,32.26,2.15,50028.63,1421.00,883381,883767,1.73,-1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.57,668070.73,5981990.95,325.33,3.02,243.67,668217.84,5981743.50,50036.97,1284.00,32.26,2.15,50028.43,1423.00,883381,883767,1.73,-1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.61,668070.66,5981991.05,325.29,3.02,243.66,668217.73,5981743.59,50036.83,1282.00,32.26,2.15,50028.40,1421.00,883381,883767,0.48,0.34
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.65,668070.59,5981991.15,325.29,3.02,243.66,668217.67,5981743.69,50036.74,1284.00,32.26,2.15,50028.40,1421.00,883381,883767,0.48,0.34
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.69,668070.52,5981991.25,325.29,3.02,243.66,668217.61,5981743.80,50036.74,1282.00,32.26,2.16,50028.39,1421.00,883381,883767,0.48,0.34
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.73,668070.45,5981991.35,325.29,3.02,243.67,668217.55,5981743.90,50036.70,1282.00,32.26,2.16,50028.39,1421.00,883381,883767,0.48,0.34
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.81,668070.31,5981991.55,325.29,3.02,243.67,668217.38,5981744.08,50036.64,1282.00,32.26,2.15,50028.21,1423.00,883381,883767,0.48,0.34
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.86,668070.24,5981991.66,325.29,3.02,243.68,668217.31,5981744.18,50036.61,1282.00,32.26,2.15,50028.21,1423.00,883381,883767,0.48,0.34
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.90,668070.17,5981991.76,325.29,3.02,243.68,668217.25,5981744.29,50036.47,1279.00,32.26,2.15,50028.00,1421.00,883381,883767,0.48,0.34
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:19.94,668070.10,5981991.86,325.29,3.02,243.68,668217.19,5981744.39,50036.43,1279.00,32.26,2.15,50028.07,1423.00,883381,883767,0.48,0.34
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.02,668069.96,5981992.06,325.29,3.02,243.67,668217.02,5981744.58,50036.43,1279.00,32.26,2.14,50027.93,1421.00,883381,883767,0.48,0.34
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.06,668069.88,5981992.16,325.29,3.02,243.68,668216.96,5981744.69,50036.36,1279.00,32.26,2.14,50027.80,1423.00,883381,883767,0.48,0.34
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.10,668069.82,5981992.26,325.29,3.02,243.68,668216.90,5981744.79,50036.29,1279.00,32.26,2.14,50027.80,1423.00,883381,883767,0.48,0.34
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.14,668069.74,5981992.37,325.29,3.02,243.68,668216.84,5981744.90,50036.02,1277.00,32.26,2.14,50027.66,1421.00,883381,883767,0.48,0.34
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.22,668069.61,5981992.56,325.29,3.02,243.68,668216.72,5981745.10,50036.07,1277.00,32.26,2.15,50027.62,1423.00,883381,883767,0.48,0.34
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.26,668069.53,5981992.66,325.29,3.02,243.67,668216.59,5981745.18,50036.14,1274.00,32.26,2.15,50027.62,1421.00,883381,883767,2.51,-0.10
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.30,668069.46,5981992.76,325.29,3.02,243.67,668216.52,5981745.28,50036.07,1274.00,32.26,2.14,50027.62,1421.00,883381,883767,2.51,-0.10
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.34,668069.39,5981992.86,325.29,3.02,243.67,668216.46,5981745.39,50035.93,1272.00,32.26,2.14,50027.62,1421.00,883381,883767,2.51,-0.10
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.38,668069.32,5981992.95,325.29,3.02,243.67,668216.40,5981745.49,50035.75,1274.00,32.26,2.15,50027.30,1421.00,883381,883767,2.51,-0.10
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.47,668069.18,5981993.16,325.29,3.02,243.65,668216.23,5981745.70,50035.73,1272.00,32.26,2.15,50027.27,1423.00,883381,883767,2.51,-0.10
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.51,668069.11,5981993.26,325.29,3.02,243.65,668216.16,5981745.81,50035.75,1272.00,32.26,2.15,50027.12,1421.00,883381,883767,2.51,-0.10
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.55,668069.04,5981993.36,325.29,3.02,243.65,668216.10,5981745.91,50035.61,1272.00,32.26,2.15,50027.12,1421.00,883381,883767,2.51,-0.10
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.60,668068.94,5981993.50,325.29,3.02,243.65,668215.98,5981746.04,50035.55,1270.00,32.26,2.16,50027.07,1423.00,883381,883767,2.51,-0.10
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.67,668068.82,5981993.67,325.29,3.02,243.65,668215.88,5981746.22,50035.52,1270.00,32.26,2.16,50027.03,1423.00,883381,883767,1.19,1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.71,668068.75,5981993.77,325.29,3.02,243.65,668215.81,5981746.32,50035.43,1270.00,32.26,2.16,50026.98,1423.00,883381,883767,1.19,1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.75,668068.68,5981993.87,325.29,3.02,243.65,668215.75,5981746.43,50035.42,1270.00,32.26,2.16,50026.96,1421.00,883381,883767,1.19,1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.79,668068.60,5981993.97,325.25,3.02,243.65,668215.65,5981746.51,50035.25,1270.00,32.26,2.16,50026.96,1421.00,883381,883767,1.19,1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.87,668068.46,5981994.17,325.25,3.02,243.65,668215.52,5981746.72,50035.14,1270.00,32.26,2.16,50026.58,1423.00,883381,883767,1.19,1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.91,668068.39,5981994.27,325.25,3.02,243.65,668215.45,5981746.82,50035.02,1265.00,32.26,2.16,50026.58,1423.00,883381,883767,1.19,1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:20.95,668068.32,5981994.37,325.25,3.02,243.65,668215.39,5981746.93,50034.96,1265.00,32.26,2.16,50026.49,1423.00,883381,883767,1.19,1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.00,668068.24,5981994.47,325.25,3.02,243.66,668215.29,5981747.00,50034.93,1265.00,32.26,2.21,50026.49,1421.00,883381,883767,1.19,1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.04,668068.18,5981994.56,325.25,3.02,243.66,668215.23,5981747.09,50034.87,1265.00,32.26,2.21,50026.49,1421.00,883381,883767,1.19,1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.12,668068.04,5981994.76,325.25,3.02,243.66,668215.10,5981747.30,50034.84,1262.00,32.20,2.17,50026.26,1423.00,883381,883767,1.19,1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.16,668067.96,5981994.87,325.25,3.02,243.66,668215.03,5981747.41,50034.71,1262.00,32.20,2.17,50026.26,1423.00,883381,883767,1.19,1.15
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.20,668067.90,5981994.97,325.25,3.02,243.66,668214.97,5981747.51,50034.65,1262.00,32.20,2.17,50026.26,1421.00,883381,883767,2.88,0.45
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.24,668067.82,5981995.07,325.25,3.02,243.50,668214.58,5981747.62,50034.60,1260.00,32.20,2.17,50026.12,1421.00,883381,883767,2.88,0.45
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.32,668067.68,5981995.27,325.25,3.02,243.50,668214.45,5981747.82,50034.57,1262.00,32.20,2.17,50025.94,1421.00,883381,883767,2.88,0.45
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.36,668067.61,5981995.37,325.25,3.02,243.50,668214.38,5981747.93,50034.38,1260.00,32.20,2.17,50025.94,1423.00,883381,883767,2.88,0.45
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.40,668067.54,5981995.47,325.16,3.02,243.48,668214.28,5981748.03,50034.39,1260.00,32.20,2.19,50025.94,1423.00,883381,883767,2.88,0.45
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.45,668067.46,5981995.57,325.16,3.02,243.48,668214.21,5981748.14,50034.24,1260.00,32.20,2.19,50025.85,1423.00,883381,883767,2.88,0.45
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.48,668067.40,5981995.66,325.16,3.02,243.48,668214.15,5981748.24,50034.35,1260.00,32.20,2.19,50025.85,1423.00,883381,883767,2.88,0.45
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.56,668067.26,5981995.87,325.16,3.02,243.48,668214.02,5981748.44,50034.19,1257.00,32.20,2.19,50025.76,1423.00,883381,883767,2.88,0.45
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.61,668067.18,5981995.98,325.16,3.02,243.48,668213.93,5981748.54,50034.24,1260.00,32.20,2.20,50025.72,1423.00,883381,883767,2.88,0.45
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.65,668067.11,5981996.07,325.16,3.02,243.48,668213.86,5981748.64,50034.12,1257.00,32.20,2.20,50025.72,1423.00,883381,883767,1.95,-0.55
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.69,668067.05,5981996.17,325.16,3.02,243.48,668213.80,5981748.74,50034.06,1257.00,32.20,2.20,50025.63,1423.00,883381,883767,1.95,-0.55
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.77,668066.90,5981996.37,325.16,3.02,243.48,668213.64,5981748.94,50034.07,1257.00,32.20,2.20,50025.61,1421.00,883381,883767,1.95,-0.55
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.81,668066.83,5981996.47,325.16,3.02,243.48,668213.58,5981749.04,50034.15,1255.00,32.20,2.22,50025.49,1423.00,883381,883767,1.95,-0.55
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.85,668066.76,5981996.57,325.16,3.02,243.48,668213.51,5981749.14,50033.97,1255.00,32.20,2.22,50025.49,1423.00,883381,883767,1.95,-0.55
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.89,668066.69,5981996.68,325.16,3.02,243.48,668213.45,5981749.25,50033.80,1255.00,32.20,2.21,50025.49,1423.00,883381,883767,1.95,-0.55
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:21.97,668066.55,5981996.87,325.12,3.02,243.49,668213.30,5981749.43,50033.83,1255.00,32.20,2.21,50025.40,1423.00,883381,883767,1.95,-0.55
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:22.01,668066.47,5981996.97,325.12,3.02,243.49,668213.24,5981749.53,50033.85,1255.00,32.20,2.24,50025.40,1423.00,883381,883767,1.95,-0.55
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:22.05,668066.40,5981997.07,325.12,3.02,243.49,668213.17,5981749.64,50033.83,1255.00,32.20,2.24,50025.36,1423.00,883381,883767,1.95,-0.55
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:22.09,668066.33,5981997.17,325.12,3.02,243.49,668213.11,5981749.74,50033.79,1255.00,32.20,2.21,50025.26,1423.00,883381,883767,1.95,-0.55
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:22.13,668066.27,5981997.27,325.12,3.02,243.49,668213.04,5981749.84,50033.71,1252.00,32.20,2.21,50025.26,1423.00,883381,883767,1.95,-0.55
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:22.22,668066.12,5981997.48,325.12,3.02,243.49,668212.91,5981750.05,50033.56,1252.00,32.20,2.21,50025.26,1423.00,883381,883767,2.76,-1.64
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:22.26,668066.05,5981997.58,325.12,3.02,243.49,668212.84,5981750.16,50033.74,1252.00,32.20,2.21,50025.26,1423.00,883381,883767,2.76,-1.64
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:22.30,668065.98,5981997.68,325.12,3.02,243.49,668212.75,5981750.25,50033.74,1250.00,32.20,2.25,50025.18,1423.00,883381,883767,2.76,-1.64
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:22.34,668065.91,5981997.78,325.12,3.02,243.49,668212.68,5981750.35,50033.62,1250.00,32.20,2.25,50025.13,1423.00,883381,883767,2.76,-1.64
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:22.42,668065.77,5981997.98,325.12,3.02,243.49,668212.55,5981750.56,50033.61,1252.00,32.20,2.27,50025.13,1423.00,883381,883767,2.76,-1.64
0014-,DDB_B10_P05_IC_SFSTBD_GRAD_1,28/06/2026,02:27:22.46,668065.70,5981998.09,325.12,3.02,243.48,668212.47,5981750.67,50033.56,1250.00,32.20,2.27,50025.16,1423.00,883381,883767,2.76,-1.64
